Rental Commencement Month,Block No.,Street Name,Monthly Rent (S$),Flat Type
Mar 2024,170,Ang Mo Kio Ave 4,"2,400.00",02
Mar 2024,172,Ang Mo Kio Ave 4,"1,200.00",02
Mar 2024,314,Ang Mo Kio Ave 3,"2,400.00",02
Mar 2024,108,Ang Mo Kio Ave 4,"2,500.00",03
Mar 2024,108,Ang Mo Kio Ave 4,"3,100.00",03
Mar 2024,110,Ang Mo Kio Ave 4,"1,200.00",03
Mar 2024,118,Ang Mo Kio Ave 4,"2,800.00",03
Mar 2024,126,Ang Mo Kio Ave 3,"2,600.00",03
Mar 2024,129,Ang Mo Kio Ave 3,"1,700.00",03
Mar 2024,152,Ang Mo Kio Ave 5,"3,200.00",03
Mar 2024,154,Ang Mo Kio Ave 5,"2,800.00",03
Mar 2024,172,Ang Mo Kio Ave 4,"1,600.00",03
Mar 2024,178,Ang Mo Kio Ave 4,"2,800.00",03
Mar 2024,180,Ang Mo Kio Ave 5,"2,700.00",03
Mar 2024,202,Ang Mo Kio Ave 3,"2,700.00",03
Mar 2024,215,Ang Mo Kio Ave 1,"2,150.00",03
Mar 2024,216,Ang Mo Kio Ave 1,"1,800.00",03
Mar 2024,219,Ang Mo Kio Ave 1,"2,700.00",03
Mar 2024,235,Ang Mo Kio Ave 3,"2,500.00",03
Mar 2024,256,Ang Mo Kio Ave 4,"2,800.00",03
Mar 2024,301,Ang Mo Kio Ave 3,"3,100.00",03
Mar 2024,308B,Ang Mo Kio Ave 1,"2,150.00",03
Mar 2024,310C,Ang Mo Kio Ave 1,"3,000.00",03
Mar 2024,313,Ang Mo Kio Ave 3,"2,850.00",03
Mar 2024,321,Ang Mo Kio Ave 1,"2,700.00",03
Mar 2024,328,Ang Mo Kio Ave 3,"2,100.00",03
Mar 2024,329,Ang Mo Kio Ave 3,"3,200.00",03
Mar 2024,330,Ang Mo Kio Ave 1,"2,100.00",03
Mar 2024,332,Ang Mo Kio Ave 1,"1,650.00",03
Mar 2024,332,Ang Mo Kio Ave 1,"2,200.00",03
Mar 2024,333,Ang Mo Kio Ave 1,"3,450.00",03
Mar 2024,345,Ang Mo Kio Ave 3,"2,000.00",03
Mar 2024,345,Ang Mo Kio Ave 3,"2,500.00",03
Mar 2024,345,Ang Mo Kio Ave 3,"2,600.00",03
Mar 2024,403,Ang Mo Kio Ave 10,"2,800.00",03
Mar 2024,405,Ang Mo Kio Ave 10,"1,880.00",03
Mar 2024,405,Ang Mo Kio Ave 10,"2,700.00",03
Mar 2024,416,Ang Mo Kio Ave 10,"2,200.00",03
Mar 2024,416,Ang Mo Kio Ave 10,"3,000.00",03
Mar 2024,417,Ang Mo Kio Ave 10,"3,200.00",03
Mar 2024,418,Ang Mo Kio Ave 10,"3,000.00",03
Mar 2024,418,Ang Mo Kio Ave 10,"3,100.00",03
Mar 2024,419,Ang Mo Kio Ave 10,750.00,03
Mar 2024,419,Ang Mo Kio Ave 10,"3,050.00",03
Mar 2024,422,Ang Mo Kio Ave 3,"3,000.00",03
Mar 2024,422,Ang Mo Kio Ave 3,"3,100.00",03
Mar 2024,425,Ang Mo Kio Ave 3,"3,100.00",03
Mar 2024,425,Ang Mo Kio Ave 3,"3,200.00",03
Mar 2024,425,Ang Mo Kio Ave 3,"3,210.00",03
Mar 2024,432,Ang Mo Kio Ave 10,"3,000.00",03
Mar 2024,433,Ang Mo Kio Ave 10,"2,700.00",03
Mar 2024,445,Ang Mo Kio Ave 10,"2,500.00",03
Mar 2024,445,Ang Mo Kio Ave 10,"3,000.00",03
Mar 2024,449,Ang Mo Kio Ave 10,"2,700.00",03
Mar 2024,452,Ang Mo Kio Ave 10,"1,000.00",03
Mar 2024,456,Ang Mo Kio Ave 10,"1,750.00",03
Mar 2024,456,Ang Mo Kio Ave 10,"3,500.00",03
Mar 2024,457,Ang Mo Kio Ave 10,"2,400.00",03
Mar 2024,463,Ang Mo Kio Ave 10,"2,800.00",03
